title,rating,mpaa
Godzilla,6.5,"Rated PG-13 for intense sequences of destruction, mayhem and creature violence"
Gone-in-60-Seconds,6.5,
"Good-Girl,-The",6.5,"Rated R for sexuality, some language and drug content"
Good-Will-Hunting,8.3,"Rated R for strong language, including some sex-related dialogue"
Gothika,5.8,"Rated R for violence, brief language and nudity"
"Graduate,-The",8.0,
Gran-Torino,8.2,"Rated R for language throughout, and some violence"
Grand-Hote,7.6,
Grand-Theft-Parsons,6.1,Rated PG-13 for drug references and some language
"Grapes-of-Wrath,-The",8.1,
Gravity,7.8,"Rated PG-13 for intense perilous sequences, some disturbing images and brief strong language"
"Green-Mile,-The",8.5,"Rated R for violence, language and some sex-related material"
Gremlins-2,7.2,
Gremlins,7.2,
"Grifters,-The",7.0,
Grosse-Point-Blank,7.4,"Rated R for strong violence, language and some drug content"
Groundhog-Day,8.0,Rated PG for some thematic elements
"Grudge,-The",5.9,"Rated PG-13 for mature thematic material, disturbing images/terror/violence, and some sensuality"
Hackers,6.2,Rated PG-13 for some sexuality and brief strong language
Hall-Pass,5.9,"Rated R for crude and sexual humor throughout, language, some graphic nudity and drug use"
Halloween-The-Curse-of-Michael-Myers,4.9,"Rated R for strong horror violence, and some sexuality"
Hancock,6.4,"Rated PG-13 for some intense sequences of sci-fi action and violence, and language (edited for re-rating)"
"Hangover,-The",7.8,"Rated R for pervasive language, sexual content including nudity, and some drug material"
Hanna,6.8,"Rated PG-13 for intense sequences of violence and action, some sexual material and language"
Hannah-and-Her-Sisters,8.0,
Hanniba,8.6,
"Happy-Birthday,-Wanda-June",6.1,
Happy-Fee,6.5,Rated PG for some mild peril and rude humor
Hard-Rain,5.8,Rated R for violence
Hard-to-Ki,5.7,
Harold-and-Kumar-Go-to-White-Castle,7.1,"Rated R for strong language, sexual content, drug use and some crude humor (certificate no. 40416)"
"Haunting,-The",8.0,
He's-Just-Not-That-Into-You,6.4,Rated PG-13 for sexual content and brief strong language
Hea,7.4,"Rated R for violence, sexuality, nudity, language and brief drug use"
Heathers,7.3,
Heavenly-Creatures,7.4,Rated R for a chilling murder and some sexuality
"Hebrew-Hammer,-The",6.2,"Rated R for language, some sexual references and drug use"
Heis,6.1,"Rated R for violence, pervasive language and some sexual content"
Hellbound-Hellraiser-II,6.5,
Hellboy-2-The-Golden-Army,7.0,"Rated PG-13 for sequences of sci-fi action and violence, and some language"
