title,gross
My-Mother-Dreams-the-Satan's-Disciples-in-New-York,
My-Week-with-Marilyn,"$14,597,405"
Napoleon-Dynamite,"$44,540,956"
Nashville,
Natural-Born-Killers,"$50,282,766"
Never-Been-Kissed,"$55,469,238"
New-York-Minute,"$14,018,364"
Newsies,"$2,819,485"
Nex,"$21,129,348"
Next-Friday,"$57,176,582"
"Next-Three-Days,-The","$21,129,348"
Ni-vu-ni-connu,
Nick-of-Time,"$8,169,363"
Night-Time-(The-Poltergeist-Treatment),
Nightbreed,"$8,862,354"
"Nightmare-Before-Christmas,-The","$75,082,668"
"Nightmare-on-Elm-Street,-A","$26,505,000"
Nightmare-on-Elm-Street-The-Final-Chapter,
Nine,"$19,673,424"
"Nines,-The",
Ninja-Assassin,"$38,105,077"
Ninotchka,"$1,187,000"
No-Strings-Attached,"$70,625,986"
Notting-Hi,
O-Brother-Where-Art-Thou%3f,"$45,506,619"
Oblivion,"$89,021,735"
Observe-and-Repor,"$23,993,605"
Obsessed,"$12,831,121"
Ocean's-Eleven,"$183,405,771"
Ocean's-Twelve,"$125,531,634"
Office-Space,"$10,824,921"
One-Flew-Over-the-Cuckoo's-Nes,"$112,000,000"
Only-God-Forgives,"$778,565"
Ordinary-People,"$54,800,000"
Orphan,"$41,573,740"
"Other-Boleyn-Girl,-The","$26,814,957"
Out-of-Sig,"$37,339,525"
"Pacifier,-The","$113,006,880"
Pandoru,"$10,326,062"
Panic-Roo,"$95,308,367"
Papadopoulos-&-Sons,
ParaNorman,"$55,994,557"
Paria,
"Passion-of-Joan-of-Arc,-The",
"Patriot,-The","$28,381,241"
Pau,
Peeping-To,"$83,957"
Peggy-Sue-Got-Married,"$41,382,841"
Perfect-Creature,
"Perfect-World,-A","$31,160,784"
"Perks-of-Being-a-Wallflower,-The","$17,738,570"
Pet-Sematary-II,"$17,092,453"
Pet-Sematary,"$57,469,179"
Petulia,
Philadelphia,
Phone-Boo,"$46,563,158"
Pi,"$3,216,970"
"Pianist,-The","$32,519,322"
"Piano,-The","$40,158,000"
Pineapple-Express,"$87,341,380"
Pirates-of-the-Caribbean-Dead-Man's-Ches,"$423,032,628"
Pirates-of-the-Caribbean,
Pitch-Black,
Platinum-Blonde,
Pleasantville,"$40,568,025"
Point-Break,"$28,772,222"
Pokemon-Mewtwo-Returns,
"Postman,-The","$17,593,391"
"Power-of-One,-The","$2,827,107"
Precious,"$47,536,959"
Predator,"$59,735,548"
Pretty-Woman-(final-script),
Pretty-Woman,"$178,406,268"
Pride-and-Prejudice,
Pries,
"Princess-Bride,-The","$30,857,814"
"Private-Life-of-Sherlock-Holmes,-The",
"Producer,-The","$19,377,727"
"Program,-The",
Prom-Nig,"$43,818,159"
Prometheus,"$126,464,904"
"Prophecy,-The",
"Proposal,-The","$163,947,053"
